,submission,submit_time,hour_12,year,month,day,second,submission_type,zip_type
0,https://ckd.upgrad.com/UpGrad/73ba5189-94fd-44aa-88d3-6b36aaa69b02/DDA1610095.zip,03-01-2017 20:28,08:28:52 PM,2017,1,3,52,DDA1610095.zip,Y
1,https://ckd.upgrad.com/UpGrad/185242ff-7508-4cc4-afa3-5865733ba1d4/DDA1610288.zip,03-01-2017 20:18,08:18:21 PM,2017,1,3,21,DDA1610288.zip,Y
2,https://ckd.upgrad.com/UpGrad/a353d129-c100-4342-aa95-a7018ff93150/DDA1610106.zip,03-01-2017 22:37,10:37:08 PM,2017,1,3,8,DDA1610106.zip,Y
3,https://ckd.upgrad.com/UpGrad/002fc912-faa1-4948-9358-fcdabfd7669c/DDA1610261.zip,02-01-2017 21:43,09:43:19 PM,2017,1,2,19,DDA1610261.zip,Y
4,https://ckd.upgrad.com/UpGrad/25cbc4a4-6d49-4ffa-9bf1-06bdb1a7cf8f/DDA1610028.zip,03-01-2017 15:27,03:27:49 PM,2017,1,3,49,DDA1610028.zip,Y
5,https://ckd.upgrad.com/UpGrad/0ab308ab-2b3a-4c74-9bac-c12567a04754/DDA1610059.zip,04-01-2017 02:43,02:43:46 AM,2017,1,4,46,DDA1610059.zip,Y
6,https://ckd.upgrad.com/UpGrad/ba2c249c-dac8-4619-a978-7fc4d15a9a89/DDA1610087.zip,03-01-2017 23:41,11:41:25 PM,2017,1,3,25,DDA1610087.zip,Y
7,https://ckd.upgrad.com/UpGrad/d8969806-6760-4428-a861-545fb4aff136/DDA1610042.zip,09-01-2017 23:49,11:49:09 PM,2017,1,9,9,DDA1610042.zip,Y
8,https://ckd.upgrad.com/UpGrad/5ff1d0ab-816b-48c0-a5a2-b76b1fd1d787/DDA1610060.zip,30-12-2016 14:14,02:14:17 PM,2016,12,30,17,DDA1610060.zip,Y
9,https://ckd.upgrad.com/UpGrad/0d507851-d102-4714-866c-348b0acf053f/DDA1610195.R,03-01-2017 21:18,09:18:04 PM,2017,1,3,4,DDA1610195.R,N
10,https://ckd.upgrad.com/UpGrad/9a756d83-7a83-49a7-bd18-4c61aaab32b6/DDA1610084.zip,03-01-2017 23:55,11:55:41 PM,2017,1,3,41,DDA1610084.zip,Y
11,https://ckd.upgrad.com/UpGrad/873211b9-5a3q-4510-91cb-awqbd210a7f/DDA1610008.zip,09-01-2017 23:41,11:41:23 PM,2017,1,9,23,DDA1610008.zip,Y
12,https://ckd.upgrad.com/UpGrad/1c4b7a1a-8287-45b4-b774-2c5388031532/DDA1610206.zip,03-01-2017 23:49,11:49:21 PM,2017,1,3,21,DDA1610206.zip,Y
13,https://ckd.upgrad.com/UpGrad/7091a8b2-d3ba-43aa-8a6c-6daf63f1a60b/DDA1610018.zip,03-01-2017 20:13,08:13:50 PM,2017,1,3,50,DDA1610018.zip,Y
14,https://ckd.upgrad.com/UpGrad/5adfdcbb-a728-496d-b3ac-f95116b09b14/DDA1610097.zip,03-01-2017 20:52,08:52:33 PM,2017,1,3,33,DDA1610097.zip,Y
15,https://ckd.upgrad.com/UpGrad/042f9a24-6595-448d-b3ca-019713a4bdff/DDA1610107.zip,03-01-2017 18:22,06:22:59 PM,2017,1,3,59,DDA1610107.zip,Y
16,https://ckd.upgrad.com/UpGrad/f0c04fba-56d2-4ac5-bcaa-f355a9324c07/DDA1610262.zip,04-01-2017 01:43,01:43:43 AM,2017,1,4,43,DDA1610262.zip,Y
17,https://ckd.upgrad.com/UpGrad/bb7a7237-419d-408d-9bd3-8da51d31c0ba/DDA1610273.zip,03-01-2017 23:59,11:59:35 PM,2017,1,3,35,DDA1610273.zip,Y
18,https://ckd.upgrad.com/UpGrad/a790dc52-359f-475f-9b35-841a552c949b/DDA1680725.zip,02-01-2017 23:45,11:45:18 PM,2017,1,2,18,DDA1680725.zip,Y
19,https://ckd.upgrad.com/UpGrad/420af317-8a55-4a5b-9f3d-33377ba51daa/DDA1610030.zip,03-01-2017 23:20,11:20:31 PM,2017,1,3,31,DDA1610030.zip,Y
20,https://ckd.upgrad.com/UpGrad/8268791a-c6a8-422a-ad4d-2d1138163328/DDA1680292.zip,03-01-2017 23:56,11:56:45 PM,2017,1,3,45,DDA1680292.zip,Y
21,https://ckd.upgrad.com/UpGrad/7cbc35aa-1d5c-4d17-b669-5bb9ab5b2f3c/DDA1610234.zip,09-01-2017 23:59,11:59:21 PM,2017,1,9,21,DDA1610234.zip,Y
22,https://ckd.upgrad.com/UpGrad/1244015f-95d6-458a-a1cf-5034c37da339/DDA1610207.zip,03-01-2017 14:52,02:52:54 PM,2017,1,3,54,DDA1610207.zip,Y
23,https://ckd.upgrad.com/UpGrad/a65db4a2-3d36-46bf-9c00-c6b66fa87a3d/DDA1610010.zip,01-01-2017 22:03,10:03:32 PM,2017,1,1,32,DDA1610010.zip,Y
24,https://ckd.upgrad.com/UpGrad/a4d13ca3-9b40-4045-a44b-18f15f0b4ab2/DDA1610191.zip,04-01-2017 00:04,12:04:08 AM,2017,1,4,8,DDA1610191.zip,Y
25,https://ckd.upgrad.com/UpGrad/7996d076-6118-4877-b408-28ab90111d4d/DDA1610128.zip,03-01-2017 20:40,08:40:53 PM,2017,1,3,53,DDA1610128.zip,Y
26,https://ckd.upgrad.com/UpGrad/8fd2afb9-7bc2-4184-8c34-c2b083bbaab7/DDA1610118.zip,03-01-2017 23:11,11:11:11 PM,2017,1,3,11,DDA1610118.zip,Y
27,https://ckd.upgrad.com/UpGrad/a19279d5-a025-45d1-9cf3-94f0c3aa63ad/DDA1610131.zip,03-01-2017 21:36,09:36:16 PM,2017,1,3,16,DDA1610131.zip,Y
28,https://ckd.upgrad.com/UpGrad/3f50884a-4fd0-4826-9838-61a6781939ab/DDA1610160.zip,09-01-2017 23:26,11:26:15 PM,2017,1,9,15,DDA1610160.zip,Y
29,https://ckd.upgrad.com/UpGrad/48781790-093d-42c9-9593-5d796ca34fff/DDA1610290.zip,04-01-2017 00:03,12:03:26 AM,2017,1,4,26,DDA1610290.zip,Y
30,https://ckd.upgrad.com/UpGrad/cc4f866d-b532-409a-924d-2acbaab74165/DDA1610056.zip,04-01-2017 00:01,12:01:00 AM,2017,1,4,0,DDA1610056.zip,Y
31,https://ckd.upgrad.com/UpGrad/8133c6ac-6589-4237-8795-b0f708bf5a16/DDA1610145.zip,03-01-2017 13:20,01:20:33 PM,2017,1,3,33,DDA1610145.zip,Y
32,https://ckd.upgrad.com/UpGrad/a5302db0-f909-4aa0-9329-ad3a85a117bb/DDA1610180.zip,28-12-2016 21:40,09:40:59 PM,2016,12,28,59,DDA1610180.zip,Y
33,https://ckd.upgrad.com/UpGrad/1c9a2339-f41d-4fa8-afcc-9ab929a7413f/DDA1610057.zip,02-01-2017 04:58,04:58:46 AM,2017,1,2,46,DDA1610057.zip,Y
34,https://ckd.upgrad.com/UpGrad/00a50aab-8bd3-4cda-85a3-da3c045f24a6/DDA1610155.zip,03-01-2017 23:30,11:30:12 PM,2017,1,3,12,DDA1610155.zip,Y
35,https://ckd.upgrad.com/UpGrad/c99cb4cc-aa92-42a7-93af-954002d6c16a/DDA1610026.zip,03-01-2017 22:36,10:36:08 PM,2017,1,3,8,DDA1610026.zip,Y
36,https://ckd.upgrad.com/UpGrad/9dcaaf78-bcbf-43f1-bfc5-165a993a99b8/DDA1610049.zip,09-01-2017 01:21,01:21:34 AM,2017,1,9,34,DDA1610049.zip,Y
37,https://ckd.upgrad.com/UpGrad/17026bb3-ab3c-4f8f-8acc-04f6bfc93089/DDA1610181.zip,03-01-2017 10:09,10:09:29 AM,2017,1,3,29,DDA1610181.zip,Y
38,https://ckd.upgrad.com/UpGrad/b3b14536-b46b-47a6-b98c-c5c81cc0f3dc/DDA1610068.zip,03-02-2017 04:02,04:02:28 AM,2017,2,3,28,DDA1610068.zip,Y
39,https://ckd.upgrad.com/UpGrad/da1aafff-477d-4739-9239-2d26aaafbbc7/DDA1610231.zip,03-01-2017 23:36,11:36:56 PM,2017,1,3,56,DDA1610231.zip,Y
40,https://ckd.upgrad.com/UpGrad/0c217b64-4160-450b-a94a-cca6075a4990/DDA1610289.R,09-01-2017 23:31,11:31:05 PM,2017,1,9,5,DDA1610289.R,N
41,https://ckd.upgrad.com/UpGrad/684aaf00-355c-4b97-93b9-f613c6a9cbab/DDA1610179.zip,04-01-2017 01:17,01:17:23 AM,2017,1,4,23,DDA1610179.zip,Y
42,https://ckd.upgrad.com/UpGrad/68cf9c59-621b-4708-9c8d-dab9aab6491f/DDA1610037.zip,03-01-2017 01:46,01:46:10 AM,2017,1,3,10,DDA1610037.zip,Y
43,https://ckd.upgrad.com/UpGrad/32cb7df0-b430-482b-b951-9a84968b53a3/DDA1610156.R,17-01-2017 13:56,01:56:23 PM,2017,1,17,23,DDA1610156.R,N
44,https://ckd.upgrad.com/UpGrad/5fda5ddd-d9a5-487c-ac7b-2a656bfb72df/DDA1610032.zip,03-01-2017 23:37,11:37:49 PM,2017,1,3,49,DDA1610032.zip,Y
45,https://ckd.upgrad.com/UpGrad/bd8ddf8a-ac47-4c7b-af9b-62006cf875ba/DDA1610140.zip,03-01-2017 23:39,11:39:12 PM,2017,1,3,12,DDA1610140.zip,Y
46,https://ckd.upgrad.com/UpGrad/a4d5c706-26b6-47fd-91af-39a95dc80b37/DDA1610151.zip,03-01-2017 23:02,11:02:52 PM,2017,1,3,52,DDA1610151.zip,Y
47,https://ckd.upgrad.com/UpGrad/97727952-94cc-43ac-8b40-d0b235481c3b/DDA1610158.zip,10-01-2017 01:02,01:02:44 AM,2017,1,10,44,DDA1610158.zip,Y
48,https://ckd.upgrad.com/UpGrad/73584688-59aa-4335-bc24-89636292f566/DDA1610210.zip,03-01-2017 21:21,09:21:14 PM,2017,1,3,14,DDA1610210.zip,Y
49,https://ckd.upgrad.com/UpGrad/ad4a86a2-a05c-4f29-92d7-fd68b2da680a/DDA1610216.zip,03-01-2017 20:31,08:31:51 PM,2017,1,3,51,DDA1610216.zip,Y
50,https://ckd.upgrad.com/UpGrad/d1fdsdfkjhd-kjfh34-ssdfj3--65761cc9b1dc/DDA1610133.zip,03-01-2017 16:38,04:38:12 PM,2017,1,3,12,DDA1610133.zip,Y
51,https://ckd.upgrad.com/UpGrad/7998ba02-b315-4fb9-8a81-495fc89bc97f/DDA1610259.zip,03-01-2017 23:24,11:24:27 PM,2017,1,3,27,DDA1610259.zip,Y
52,https://ckd.upgrad.com/UpGrad/4aa8a126-4ac3-439c-8541-2f31bf862c54/DDA1610247.zip,03-01-2017 21:35,09:35:31 PM,2017,1,3,31,DDA1610247.zip,Y
53,https://ckd.upgrad.com/UpGrad/f2ac711c-3cfb-401d-b57c-95da44f8a95d/DDA1610020.zip,03-01-2017 23:33,11:33:37 PM,2017,1,3,37,DDA1610020.zip,Y
54,https://ckd.upgrad.com/UpGrad/7241d023-821b-48b2-8a01-ac761a7fd67c/DDA1610053.zip,03-01-2017 14:27,02:27:59 PM,2017,1,3,59,DDA1610053.zip,Y
55,https://ckd.upgrad.com/UpGrad/3c564a75-8738-47a4-8681-6384099c86ab/DDA1610303.zip,02-01-2017 18:07,06:07:27 PM,2017,1,2,27,DDA1610303.zip,Y
56,https://ckd.upgrad.com/UpGrad/58ccf7ab-f923-4c5a-81b0-ab5905193469/DDA1610012.zip,03-01-2017 21:07,09:07:13 PM,2017,1,3,13,DDA1610012.zip,Y
57,https://ckd.upgrad.com/UpGrad/b1d8a868-25aa-4237-98a4-945ab41db47a/DDA1610064.zip,03-01-2017 23:38,11:38:16 PM,2017,1,3,16,DDA1610064.zip,Y
58,https://ckd.upgrad.com/UpGrad/78cfa157-4db8-41fa-9459-26ca3f325c27/DDA1610196.zip,09-01-2017 20:47,08:47:36 PM,2017,1,9,36,DDA1610196.zip,Y
59,https://ckd.upgrad.com/UpGrad/cc7a66d1-0a45-4ba2-8b04-a17a7f303aaf/DDA1610136.zip,03-01-2017 06:58,06:58:26 AM,2017,1,3,26,DDA1610136.zip,Y
60,https://ckd.upgrad.com/UpGrad/10197df7-75ad-4541-8f4c-a06a6cbd4b1d/DDA1610110.zip,03-01-2017 01:22,01:22:09 AM,2017,1,3,9,DDA1610110.zip,Y
61,https://ckd.upgrad.com/UpGrad/9683d673-64a6-439b-a784-09cadd094a7f/DDA1610149.zip,04-01-2017 12:10,12:10:23 PM,2017,1,4,23,DDA1610149.zip,Y
62,https://ckd.upgrad.com/UpGrad/a0483f5f-aadb-4b04-9404-1a39495175ca/DDA1610038.zip,03-01-2017 15:51,03:51:19 PM,2017,1,3,19,DDA1610038.zip,Y
63,https://ckd.upgrad.com/UpGrad/8385f63b-6f2a-49d0-86aa-ca91cb01af91/DDA1610043.zip,02-01-2017 13:43,01:43:58 PM,2017,1,2,58,DDA1610043.zip,Y
64,https://ckd.upgrad.com/UpGrad/d8688f0b-aa39-44b9-aac6-a7a84536a1aa/DDA160171.zip,09-01-2017 23:10,11:10:56 PM,2017,1,9,56,DDA160171.zip,Y
65,https://ckd.upgrad.com/UpGrad/a71b6a2c-8480-4536-96a2-214cf3930ad2/DDA1610221.zip,02-01-2017 21:43,09:43:56 PM,2017,1,2,56,DDA1610221.zip,Y
66,https://ckd.upgrad.com/UpGrad/31a3f38d-cb52-4348-80d5-d7f506a9185c/DDA1610240.zip,03-01-2017 23:54,11:54:15 PM,2017,1,3,15,DDA1610240.zip,Y
67,https://ckd.upgrad.com/UpGrad/d129b546-461d-4cba-aaca-1f8c5a191107/DDA1610074.zip,03-01-2017 23:45,11:45:41 PM,2017,1,3,41,DDA1610074.zip,Y
68,https://ckd.upgrad.com/UpGrad/9b44dbaa-a5a1-4f50-82a8-ba0c02a50130/DDA1610036.zip,03-01-2017 22:35,10:35:42 PM,2017,1,3,42,DDA1610036.zip,Y
69,https://ckd.upgrad.com/UpGrad/2bc51588-785a-48db-9441-bc5c251c229a/DDA1680250.zip,03-01-2017 23:57,11:57:37 PM,2017,1,3,37,DDA1680250.zip,Y
70,https://ckd.upgrad.com/UpGrad/56a01a39-85b3-4ba2-a9ad-acfb36b0a0d5/DDA1610022.zip,03-01-2017 20:45,08:45:34 PM,2017,1,3,34,DDA1610022.zip,Y
71,https://ckd.upgrad.com/UpGrad/93aa0536-acd7-4952-b9f8-c830af9d7934/DDA1610009.zip,03-01-2017 20:39,08:39:49 PM,2017,1,3,49,DDA1610009.zip,Y
72,https://ckd.upgrad.com/UpGrad/0b098368-5b74-4249-9783-a43c1ab48dab/DDA1610218.zip,01-01-2017 02:59,02:59:32 AM,2017,1,1,32,DDA1610218.zip,Y
73,https://ckd.upgrad.com/UpGrad/fc9dbaf6-da00-421a-8aa8-016a275add09/DDA1610203.zip,02-01-2017 18:57,06:57:27 PM,2017,1,2,27,DDA1610203.zip,Y
74,https://ckd.upgrad.com/UpGrad/04664062-2096-4078-a8a3-1a514adca3aa/DDA1610002.zip,03-01-2017 23:10,11:10:36 PM,2017,1,3,36,DDA1610002.zip,Y
75,https://ckd.upgrad.com/UpGrad/75849234-723-4893829c-8addfg5794/DDA1610219.zip,03-01-2017 23:43,11:43:23 PM,2017,1,3,23,DDA1610219.zip,Y
76,https://ckd.upgrad.com/UpGrad/757cfa2d-7cc1-44fa-a457-30af900a162f/DDA1610007.zip,02-01-2017 21:22,09:22:13 PM,2017,1,2,13,DDA1610007.zip,Y
77,https://ckd.upgrad.com/UpGrad/873210a9-5a3b-4510-9a3b-abb8bd210a6f/DDA1610008.zip,03-01-2017 21:04,09:04:24 PM,2017,1,3,24,DDA1610008.zip,Y
78,https://ckd.upgrad.com/UpGrad/5012a86d-b5fa-4afa-bbf2-8135a7ab8da0/DDA1610252.zip,09-01-2017 23:53,11:53:34 PM,2017,1,9,34,DDA1610252.zip,Y
79,https://ckd.upgrad.com/UpGrad/ad2d0318-244c-4a32-bba1-a4213a9c9a40/DDA1610092.zip,03-01-2017 23:24,11:24:51 PM,2017,1,3,51,DDA1610092.zip,Y
80,https://ckd.upgrad.com/UpGrad/777ab058-624f-49af-abd1-8727ffb7314b/DDA1610071.zip,30-12-2016 23:11,11:11:10 PM,2016,12,30,10,DDA1610071.zip,Y
81,https://ckd.upgrad.com/UpGrad/2b57031f-b618-4fdb-9a88-71b0baaa8729/DDA1610069.zip,03-01-2017 22:59,10:59:23 PM,2017,1,3,23,DDA1610069.zip,Y
82,https://ckd.upgrad.com/UpGrad/a83288af-3ff8-4963-9cc7-f5fc4a9971a8/DDA1610211.zip,21-12-2016 16:26,04:26:07 PM,2016,12,21,7,DDA1610211.zip,Y
83,https://ckd.upgrad.com/UpGrad/89949850-d646-43c8-9243-f0a5a9ca47d4/DDA1610212.zip,03-01-2017 23:22,11:22:38 PM,2017,1,3,38,DDA1610212.zip,Y
84,https://ckd.upgrad.com/UpGrad/3b8ad751-c637-4a74-bbd4-0d562f497333/DDA1610084.zip,03-01-2017 23:29,11:29:04 PM,2017,1,3,4,DDA1610084.zip,Y
85,https://ckd.upgrad.com/UpGrad/09842859-0c68-41dc-8548-b12c99223658/DDA1610017.zip,03-01-2017 17:25,05:25:16 PM,2017,1,3,16,DDA1610017.zip,Y
86,https://ckd.upgrad.com/UpGrad/90fa00f6-970a-4531-bb54-c05bf4a285ca/DDA1680201.zip,29-12-2016 20:15,08:15:41 PM,2016,12,29,41,DDA1680201.zip,Y
87,https://ckd.upgrad.com/UpGrad/1872b962-0f57-41da-bfc9-0402acc08d42/DDA1610263.zip,04-01-2017 00:18,12:18:00 AM,2017,1,4,0,DDA1610263.zip,Y
88,https://ckd.upgrad.com/UpGrad/1c200aba-36bb-479f-af17-b9f249a09600/DDA1610256.R,06-01-2017 20:51,08:51:29 PM,2017,1,6,29,DDA1610256.R,N
89,https://ckd.upgrad.com/UpGrad/b7a15111-4b45-43a9-a2b7-d2f77b18a8a8/DDA1610153.zip,03-01-2017 23:51,11:51:49 PM,2017,1,3,49,DDA1610153.zip,Y
90,https://ckd.upgrad.com/UpGrad/93fb305a-6bc4-4d52-a187-6fa05c2cd86a/DDA1610078.zip,09-01-2017 10:18,10:18:10 AM,2017,1,9,10,DDA1610078.zip,Y
91,https://ckd.upgrad.com/UpGrad/d7f243cd-af6f-4384-a340-cd387a9618d9/DDA1610229.zip,03-01-2017 23:48,11:48:45 PM,2017,1,3,45,DDA1610229.zip,Y
92,https://ckd.upgrad.com/UpGrad/3da649d8-faa0-4b6c-9faa-a84a2c869ba8/DDA1610115.zip,03-01-2017 21:18,09:18:59 PM,2017,1,3,59,DDA1610115.zip,Y
93,https://ckd.upgrad.com/UpGrad/a3b05347-32b0-4237-8542-acc8b96d633a/DDA1610159.zip,09-01-2017 03:24,03:24:36 AM,2017,1,9,36,DDA1610159.zip,Y
94,https://ckd.upgrad.com/UpGrad/d3c29483-787c-4b65-b28b-21cd9a1a3c1a/DDA1610082.zip,03-01-2017 23:48,11:48:09 PM,2017,1,3,9,DDA1610082.zip,Y
95,https://ckd.upgrad.com/UpGrad/abd34a57-b885-445a-a173-5fb201295407/DDA1610227.zip,03-01-2017 23:21,11:21:15 PM,2017,1,3,15,DDA1610227.zip,Y
96,https://ckd.upgrad.com/UpGrad/a314078b-2a6a-4b79-8d7c-b97d5bf2126c/DDA1610126.zip,03-01-2017 15:38,03:38:28 PM,2017,1,3,28,DDA1610126.zip,Y
97,https://ckd.upgrad.com/UpGrad/a620227c-83a5-4893-9d3c-74d56a5a44bd/DDA1610121.zip,02-01-2017 23:50,11:50:42 PM,2017,1,2,42,DDA1610121.zip,Y
98,https://ckd.upgrad.com/UpGrad/4712ca88-1aa5-4a55-824a-3ab4a71df656/DDA1610225.zip,03-01-2017 22:46,10:46:24 PM,2017,1,3,24,DDA1610225.zip,Y
